category_original,category,brand,brand_slug,model,name,product_slug,chip_vendor_slug,origin_name_vi,origin_code,key_specs,socket_slot,power_watts,source_name,source_url,data_confidence,msrp_vnd,base_local_price_vnd,base_used_price_vnd,supplier_cost_vnd,base_performance_score,base_power_watts,base_heat_score,base_reliability_score,used_demand_score,mining_popularity_score,depreciation_rate,real_specs_json,game_balance_json,image_url,notes
CPU,CPU,Intel,intel,Core Ultra 9 285K,Intel Core Ultra 9 285K,intel-core-ultra-9-285k,intel,Mỹ,US,24 Cores 24 Threads | Up to 5.7GHz,LGA1851,125,Manual curated sheet,,MANUAL,,,,,98,125,82,88,55,0,8,"{""raw_key_specs"":""24 Cores 24 Threads | Up to 5.7GHz"",""socket_slot"":""LGA1851"",""power_watts"":125,""cores"":24,""threads"":24,""boost_clock_ghz"":5.7,""socket"":""LGA1851""}","{""base_performance_score"":98,""base_power_watts"":125,""base_heat_score"":82,""base_reliability_score"":88,""used_demand_score"":55,""mining_popularity_score"":0,""depreciation_rate"":8}",,
CPU,CPU,Intel,intel,Core Ultra 7 265K,Intel Core Ultra 7 265K,intel-core-ultra-7-265k,intel,Mỹ,US,20 Cores 20 Threads | Up to 5.5GHz,LGA1851,125,Manual curated sheet,,MANUAL,,,,,98,125,82,88,55,0,8,"{""raw_key_specs"":""20 Cores 20 Threads | Up to 5.5GHz"",""socket_slot"":""LGA1851"",""power_watts"":125,""cores"":20,""threads"":20,""boost_clock_ghz"":5.5,""socket"":""LGA1851""}","{""base_performance_score"":98,""base_power_watts"":125,""base_heat_score"":82,""base_reliability_score"":88,""used_demand_score"":55,""mining_popularity_score"":0,""depreciation_rate"":8}",,
CPU,CPU,Intel,intel,Core Ultra 5 245K,Intel Core Ultra 5 245K,intel-core-ultra-5-245k,intel,Mỹ,US,14 Cores 14 Threads | Up to 5.2GHz,LGA1851,125,Manual curated sheet,,MANUAL,,,,,98,125,82,88,55,0,8,"{""raw_key_specs"":""14 Cores 14 Threads | Up to 5.2GHz"",""socket_slot"":""LGA1851"",""power_watts"":125,""cores"":14,""threads"":14,""boost_clock_ghz"":5.2,""socket"":""LGA1851""}","{""base_performance_score"":98,""base_power_watts"":125,""base_heat_score"":82,""base_reliability_score"":88,""used_demand_score"":55,""mining_popularity_score"":0,""depreciation_rate"":8}",,
CPU,CPU,Intel,intel,Core i9-14900K,Intel Core i9-14900K,intel-core-i9-14900k,intel,Mỹ,US,24 Cores 32 Threads | Up to 6.0GHz,LGA1700,125,Manual curated sheet,,MANUAL,,,,,98,125,82,88,55,0,8,"{""raw_key_specs"":""24 Cores 32 Threads | Up to 6.0GHz"",""socket_slot"":""LGA1700"",""power_watts"":125,""cores"":24,""threads"":32,""boost_clock_ghz"":6.0,""socket"":""LGA1700""}","{""base_performance_score"":98,""base_power_watts"":125,""base_heat_score"":82,""base_reliability_score"":88,""used_demand_score"":55,""mining_popularity_score"":0,""depreciation_rate"":8}",,
CPU,CPU,Intel,intel,Core i5-12400F,Intel Core i5-12400F,intel-core-i5-12400f,intel,Mỹ,US,6 Cores 12 Threads | Up to 4.4GHz,LGA1700,65,Manual curated sheet,,MANUAL,,,,,68,65,52,88,55,0,8,"{""raw_key_specs"":""6 Cores 12 Threads | Up to 4.4GHz"",""socket_slot"":""LGA1700"",""power_watts"":65,""cores"":6,""threads"":12,""boost_clock_ghz"":4.4,""socket"":""LGA1700""}","{""base_performance_score"":68,""base_power_watts"":65,""base_heat_score"":52,""base_reliability_score"":88,""used_demand_score"":55,""mining_popularity_score"":0,""depreciation_rate"":8}",,
CPU,CPU,AMD,amd,Ryzen 9 9950X,AMD Ryzen 9 9950X,amd-ryzen-9-9950x,amd,Mỹ,US,16 Cores 32 Threads | Up to 5.7GHz,AM5,170,Manual curated sheet,,MANUAL,,,,,98,170,95,88,55,0,8,"{""raw_key_specs"":""16 Cores 32 Threads | Up to 5.7GHz"",""socket_slot"":""AM5"",""power_watts"":170,""cores"":16,""threads"":32,""boost_clock_ghz"":5.7,""socket"":""AM5""}","{""base_performance_score"":98,""base_power_watts"":170,""base_heat_score"":95,""base_reliability_score"":88,""used_demand_score"":55,""mining_popularity_score"":0,""depreciation_rate"":8}",,
CPU,CPU,AMD,amd,Ryzen 7 9700X,AMD Ryzen 7 9700X,amd-ryzen-7-9700x,amd,Mỹ,US,8 Cores 16 Threads | Up to 5.5GHz,AM5,65,Manual curated sheet,,MANUAL,,,,,87,65,52,88,55,0,8,"{""raw_key_specs"":""8 Cores 16 Threads | Up to 5.5GHz"",""socket_slot"":""AM5"",""power_watts"":65,""cores"":8,""threads"":16,""boost_clock_ghz"":5.5,""socket"":""AM5""}","{""base_performance_score"":87,""base_power_watts"":65,""base_heat_score"":52,""base_reliability_score"":88,""used_demand_score"":55,""mining_popularity_score"":0,""depreciation_rate"":8}",,
CPU,CPU,AMD,amd,Ryzen 7 7800X3D,AMD Ryzen 7 7800X3D,amd-ryzen-7-7800x3d,amd,Mỹ,US,8 Cores 16 Threads | 96MB L3 Cache (Gaming King),AM5,120,Manual curated sheet,,MANUAL,,,,,75,120,80,88,70,0,8,"{""raw_key_specs"":""8 Cores 16 Threads | 96MB L3 Cache (Gaming King)"",""socket_slot"":""AM5"",""power_watts"":120,""cores"":8,""threads"":16,""l3_cache_mb"":96,""socket"":""AM5""}","{""base_performance_score"":75,""base_power_watts"":120,""base_heat_score"":80,""base_reliability_score"":88,""used_demand_score"":70,""mining_popularity_score"":0,""depreciation_rate"":8}",,
CPU,CPU,AMD,amd,Ryzen 5 5600X,AMD Ryzen 5 5600X,amd-ryzen-5-5600x,amd,Mỹ,US,6 Cores 12 Threads | Up to 4.6GHz,AM4,65,Manual curated sheet,,MANUAL,,,,,70,65,52,88,55,0,8,"{""raw_key_specs"":""6 Cores 12 Threads | Up to 4.6GHz"",""socket_slot"":""AM4"",""power_watts"":65,""cores"":6,""threads"":12,""boost_clock_ghz"":4.6,""socket"":""AM4""}","{""base_performance_score"":70,""base_power_watts"":65,""base_heat_score"":52,""base_reliability_score"":88,""used_demand_score"":55,""mining_popularity_score"":0,""depreciation_rate"":8}",,
CPU,CPU,Loongson,loongson,3A6000,Loongson 3A6000,loongson-3a6000,loongson,Trung Quốc,CN,4 Cores 8 Threads | 2.5GHz (Kiến trúc LoongArch),LA464,50,Manual curated sheet,,MANUAL,,,,,51,50,45,70,55,0,8,"{""raw_key_specs"":""4 Cores 8 Threads | 2.5GHz (Kiến trúc LoongArch)"",""socket_slot"":""LA464"",""power_watts"":50,""cores"":4,""threads"":8,""socket"":""LA464""}","{""base_performance_score"":51,""base_power_watts"":50,""base_heat_score"":45,""base_reliability_score"":70,""used_demand_score"":55,""mining_popularity_score"":0,""depreciation_rate"":8}",,
