name,slug,origin_name_vi,origin_code,logo_url,website_url,brand_type,market_tier,base_trust_score,used_market_risk_modifier,categories,notes
1stPlayer,1stplayer,Trung Quốc,CN,/assets/brands/1stplayer.svg,,PSU_CASE_COOLING,GRAY_MARKET,38,25,CASE|PSU,
51Risc,51risc,Trung Quốc,CN,/assets/brands/51risc.svg,,BOARD_PARTNER,GRAY_MARKET,38,25,GPU,
AcBel,acbel,Đài Loan,TW,/assets/brands/acbel.svg,,PSU_CASE_COOLING,VALUE,62,8,PSU,
ADATA,adata,Đài Loan,TW,/assets/brands/adata.svg,,MEMORY_STORAGE,MAINSTREAM,75,0,RAM|STORAGE,
Aerocool,aerocool,Đài Loan,TW,/assets/brands/aerocool.svg,,CASE_COOLING,VALUE,62,8,CASE|COOLER,
Afox,afox,Hong Kong,HK,/assets/brands/afox.svg,,BOARD_PARTNER,VALUE,62,8,GPU,
Aigo,aigo,Trung Quốc,CN,/assets/brands/aigo.svg,,PSU_CASE_COOLING,GRAY_MARKET,38,25,CASE|COOLER|PSU|RAM,
AISURIX,aisurix,Trung Quốc,CN,/assets/brands/aisurix.svg,,BOARD_PARTNER,GRAY_MARKET,38,25,GPU,
Alphacool,alphacool,Đức,DE,/assets/brands/alphacool.svg,,CASE_COOLING,PREMIUM,88,-8,WATER_COOLING,
Alseye,alseye,Trung Quốc,CN,/assets/brands/alseye.svg,,CASE_COOLING,GRAY_MARKET,38,25,COOLER,
AMD,amd,Mỹ,US,/assets/brands/amd.svg,,CHIP_VENDOR,PREMIUM,88,-8,CPU|GPU,
Antec,antec,Mỹ,US,/assets/brands/antec.svg,,PSU_CASE_COOLING,MAINSTREAM,75,0,COOLER|PSU,
Apacer,apacer,Đài Loan,TW,/assets/brands/apacer.svg,,MEMORY_STORAGE,VALUE,62,8,RAM|STORAGE,
Arctic,arctic,Đức,DE,/assets/brands/arctic.svg,,CASE_COOLING,MAINSTREAM,75,0,COOLER,
Arktek,arktek,Hong Kong,HK,/assets/brands/arktek.svg,,BOARD_PARTNER,GRAY_MARKET,38,25,MOTHERBOARD,
Asgard,asgard,Trung Quốc,CN,/assets/brands/asgard.svg,,MEMORY_STORAGE,GRAY_MARKET,38,25,RAM,
ASRock,asrock,Đài Loan,TW,/assets/brands/asrock.svg,,BOARD_PARTNER,MAINSTREAM,75,0,GPU|MOTHERBOARD,
ASUS,asus,Đài Loan,TW,/assets/brands/asus.svg,,BOARD_PARTNER,PREMIUM,88,-8,GPU|MOTHERBOARD|PSU,
Axle,axle,Hong Kong,HK,/assets/brands/axle.svg,,BOARD_PARTNER,VALUE,62,8,GPU,
Barrow,barrow,Trung Quốc,CN,/assets/brands/barrow.svg,,CASE_COOLING,GRAY_MARKET,38,25,WATER_COOLING,
be quiet!,be-quiet,Đức,DE,/assets/brands/be-quiet.svg,,PSU_CASE_COOLING,PREMIUM,88,-8,COOLER|PSU,
Biostar,biostar,Đài Loan,TW,/assets/brands/biostar.svg,,BOARD_PARTNER,VALUE,62,8,GPU|MOTHERBOARD,
Bitspower,bitspower,Đài Loan,TW,/assets/brands/bitspower.svg,,CASE_COOLING,MAINSTREAM,75,0,WATER_COOLING,
Bykski,bykski,Trung Quốc,CN,/assets/brands/bykski.svg,,CASE_COOLING,GRAY_MARKET,38,25,WATER_COOLING,
Colorful,colorful,Trung Quốc,CN,/assets/brands/colorful.svg,,BOARD_PARTNER,MAINSTREAM,75,0,GPU|MOTHERBOARD,
Cooler Master,cooler-master,Đài Loan,TW,/assets/brands/cooler-master.svg,,BOARD_PARTNER,MAINSTREAM,75,0,CASE|COOLER|GPU|PSU|WATER_COOLING,
Corsair,corsair,Mỹ,US,/assets/brands/corsair.svg,,PSU_CASE_COOLING,PREMIUM,88,-8,CASE|PSU|RAM|STORAGE|WATER_COOLING,
Cougar,cougar,Đức,DE,/assets/brands/cougar.svg,,CASE_COOLING,MAINSTREAM,75,0,CASE,
Crucial,crucial,Mỹ,US,/assets/brands/crucial.svg,,MEMORY_STORAGE,PREMIUM,88,-8,RAM|STORAGE,
Deepcool,deepcool,Trung Quốc,CN,/assets/brands/deepcool.svg,,PSU_CASE_COOLING,MAINSTREAM,75,0,CASE|COOLER|PSU,
EKWB,ekwb,Slovenia,SI,/assets/brands/ekwb.svg,,CASE_COOLING,PREMIUM,88,-8,WATER_COOLING,
EVGA,evga,Mỹ,US,/assets/brands/evga.svg,,BOARD_PARTNER,VALUE,62,8,GPU|MOTHERBOARD,
Fanxiang,fanxiang,Trung Quốc,CN,/assets/brands/fanxiang.svg,,MEMORY_STORAGE,GRAY_MARKET,38,25,STORAGE,
Fractal Design,fractal-design,Thụy Điển,SE,/assets/brands/fractal-design.svg,,CASE_COOLING,PREMIUM,88,-8,CASE,
Freezemod,freezemod,Trung Quốc,CN,/assets/brands/freezemod.svg,,CASE_COOLING,GRAY_MARKET,38,25,WATER_COOLING,
FSP,fsp,Đài Loan,TW,/assets/brands/fsp.svg,,PSU_CASE_COOLING,MAINSTREAM,75,0,PSU,
G.Skill,g-skill,Đài Loan,TW,/assets/brands/g-skill.svg,,MEMORY_STORAGE,VALUE,62,8,RAM,
Gainward,gainward,Đài Loan,TW,/assets/brands/gainward.svg,,BOARD_PARTNER,MAINSTREAM,75,0,GPU,
Galax,galax,Hong Kong,HK,/assets/brands/galax.svg,,BOARD_PARTNER,MAINSTREAM,75,0,CASE|GPU,
Gamdias,gamdias,Đài Loan,TW,/assets/brands/gamdias.svg,,CASE_COOLING,VALUE,62,8,CASE|COOLER,
Gamemax,gamemax,Trung Quốc,CN,/assets/brands/gamemax.svg,,PSU_CASE_COOLING,GRAY_MARKET,38,25,CASE|PSU,
GeIL,geil,Đài Loan,TW,/assets/brands/geil.svg,,MEMORY_STORAGE,VALUE,62,8,RAM,
GIGABYTE,gigabyte,Đài Loan,TW,/assets/brands/gigabyte.svg,,BOARD_PARTNER,PREMIUM,88,-8,GPU|MOTHERBOARD|PSU|RAM|STORAGE,
Gloway,gloway,Trung Quốc,CN,/assets/brands/gloway.svg,,MEMORY_STORAGE,GRAY_MARKET,38,25,RAM,
Golden Field,golden-field,Trung Quốc,CN,/assets/brands/golden-field.svg,,CASE_COOLING,GRAY_MARKET,38,25,COOLER,
Goldenfir,goldenfir,Trung Quốc,CN,/assets/brands/goldenfir.svg,,MEMORY_STORAGE,GRAY_MARKET,38,25,STORAGE,
Hiksemi,hiksemi,Trung Quốc,CN,/assets/brands/hiksemi.svg,,MEMORY_STORAGE,VALUE,62,8,RAM|STORAGE,
Huananzhi,huananzhi,Trung Quốc,CN,/assets/brands/huananzhi.svg,,BOARD_PARTNER,GRAY_MARKET,38,25,MOTHERBOARD,
Huntkey,huntkey,Trung Quốc,CN,/assets/brands/huntkey.svg,,PSU_CASE_COOLING,GRAY_MARKET,38,25,PSU,
Hygon,hygon,Trung Quốc,CN,/assets/brands/hygon.svg,,CHIP_VENDOR,INDUSTRIAL,58,12,CPU,
Hyte,hyte,Mỹ,US,/assets/brands/hyte.svg,,CASE_COOLING,MAINSTREAM,75,0,CASE,
ID-Cooling,id-cooling,Trung Quốc,CN,/assets/brands/id-cooling.svg,,CASE_COOLING,MAINSTREAM,75,0,COOLER,
Inno3D,inno3d,Hong Kong,HK,/assets/brands/inno3d.svg,,BOARD_PARTNER,MAINSTREAM,75,0,GPU,
Intel,intel,Mỹ,US,/assets/brands/intel.svg,,CHIP_VENDOR,PREMIUM,88,-8,CPU|GPU,
InWin,inwin,Đài Loan,TW,/assets/brands/inwin.svg,,PSU_CASE_COOLING,MAINSTREAM,75,0,CASE|PSU,
Jetek,jetek,Việt Nam,VN,/assets/brands/jetek.svg,,PSU_CASE_COOLING,GRAY_MARKET,38,25,PSU,
Jeyi,jeyi,Trung Quốc,CN,/assets/brands/jeyi.svg,,BOARD_PARTNER,GRAY_MARKET,38,25,GPU,
Jingsha,jingsha,Trung Quốc,CN,/assets/brands/jingsha.svg,,BOARD_PARTNER,GRAY_MARKET,38,25,GPU|MOTHERBOARD,
Jiyue,jiyue,Trung Quốc,CN,/assets/brands/jiyue.svg,,BOARD_PARTNER,GRAY_MARKET,38,25,MOTHERBOARD,
Jonsbo,jonsbo,Trung Quốc,CN,/assets/brands/jonsbo.svg,,CASE_COOLING,MAINSTREAM,75,0,CASE|COOLER,
Juhor,juhor,Trung Quốc,CN,/assets/brands/juhor.svg,,MEMORY_STORAGE,GRAY_MARKET,38,25,RAM,
Kangkai,kangkai,Trung Quốc,CN,/assets/brands/kangkai.svg,,BOARD_PARTNER,GRAY_MARKET,38,25,GPU,
Kimtigo,kimtigo,Trung Quốc,CN,/assets/brands/kimtigo.svg,,MEMORY_STORAGE,GRAY_MARKET,38,25,RAM,
Kingmax,kingmax,Đài Loan,TW,/assets/brands/kingmax.svg,,MEMORY_STORAGE,VALUE,62,8,RAM|STORAGE,
Kingspec,kingspec,Trung Quốc,CN,/assets/brands/kingspec.svg,,MEMORY_STORAGE,GRAY_MARKET,38,25,STORAGE,
Kingston,kingston,Mỹ,US,/assets/brands/kingston.svg,,MEMORY_STORAGE,PREMIUM,88,-8,RAM|STORAGE,
Kioxia,kioxia,Nhật Bản,JP,/assets/brands/kioxia.svg,,MEMORY_STORAGE,PREMIUM,88,-8,STORAGE,
Klevv,klevv,Hàn Quốc,KR,/assets/brands/klevv.svg,,MEMORY_STORAGE,VALUE,62,8,RAM,
Kllisre,kllisre,Trung Quốc,CN,/assets/brands/kllisre.svg,,BOARD_PARTNER,GRAY_MARKET,38,25,MOTHERBOARD|RAM,
Lexar,lexar,Mỹ,US,/assets/brands/lexar.svg,,MEMORY_STORAGE,MAINSTREAM,75,0,RAM|STORAGE,
Lian Li,lian-li,Đài Loan,TW,/assets/brands/lian-li.svg,,CASE_COOLING,PREMIUM,88,-8,CASE,
Loongson,loongson,Trung Quốc,CN,/assets/brands/loongson.svg,,CHIP_VENDOR,INDUSTRIAL,58,12,CPU,
Machinist,machinist,Trung Quốc,CN,/assets/brands/machinist.svg,,BOARD_PARTNER,GRAY_MARKET,38,25,MOTHERBOARD,
Magicool,magicool,Trung Quốc,CN,/assets/brands/magicool.svg,,CASE_COOLING,GRAY_MARKET,38,25,WATER_COOLING,
Manli,manli,Hong Kong,HK,/assets/brands/manli.svg,,BOARD_PARTNER,VALUE,62,8,GPU,
Maxsun,maxsun,Trung Quốc,CN,/assets/brands/maxsun.svg,,BOARD_PARTNER,VALUE,62,8,GPU|MOTHERBOARD,
Mecer,mecer,Nam Phi,ZA,/assets/brands/mecer.svg,,BOARD_PARTNER,GRAY_MARKET,38,25,MOTHERBOARD,
Mikro,mikro,Trung Quốc,CN,/assets/brands/mikro.svg,,PSU_CASE_COOLING,GRAY_MARKET,38,25,CASE|PSU,
Minisforum,minisforum,Trung Quốc,CN,/assets/brands/minisforum.svg,,BOARD_PARTNER,VALUE,62,8,MOTHERBOARD,
Mishax,mishax,Trung Quốc,CN,/assets/brands/mishax.svg,,BOARD_PARTNER,GRAY_MARKET,38,25,GPU,
MLLSE,mllse,Trung Quốc,CN,/assets/brands/mllse.svg,,BOARD_PARTNER,GRAY_MARKET,38,25,GPU,
Montech,montech,Đài Loan,TW,/assets/brands/montech.svg,,CASE_COOLING,MAINSTREAM,75,0,CASE,
Moore Threads,moore-threads,Trung Quốc,CN,/assets/brands/moore-threads.svg,,CHIP_VENDOR,INDUSTRIAL,58,12,GPU,
Movebest,movebest,Trung Quốc,CN,/assets/brands/movebest.svg,,MEMORY_STORAGE,GRAY_MARKET,38,25,STORAGE,
MSI,msi,Đài Loan,TW,/assets/brands/msi.svg,,BOARD_PARTNER,PREMIUM,88,-8,GPU|MOTHERBOARD|PSU,
Mushkin,mushkin,Mỹ,US,/assets/brands/mushkin.svg,,MEMORY_STORAGE,VALUE,62,8,RAM,
Netac,netac,Trung Quốc,CN,/assets/brands/netac.svg,,MEMORY_STORAGE,VALUE,62,8,RAM|STORAGE,
Noctua,noctua,Áo,AT,/assets/brands/noctua.svg,,CASE_COOLING,PREMIUM,88,-8,COOLER,
NVIDIA,nvidia,Mỹ,US,/assets/brands/nvidia.svg,,CHIP_VENDOR,PREMIUM,88,-8,GPU,
NZXT,nzxt,Mỹ,US,/assets/brands/nzxt.svg,,BOARD_PARTNER,PREMIUM,88,-8,CASE|COOLER|MOTHERBOARD,
Onda,onda,Trung Quốc,CN,/assets/brands/onda.svg,,BOARD_PARTNER,GRAY_MARKET,38,25,GPU|MOTHERBOARD,
Onyx,onyx,Trung Quốc,CN,/assets/brands/onyx.svg,,BOARD_PARTNER,VALUE,62,8,MOTHERBOARD,
Palit,palit,Đài Loan,TW,/assets/brands/palit.svg,,BOARD_PARTNER,MAINSTREAM,75,0,GPU,
Panram,panram,Đài Loan,TW,/assets/brands/panram.svg,,MEMORY_STORAGE,VALUE,62,8,RAM,
Patriot,patriot,Mỹ,US,/assets/brands/patriot.svg,,MEMORY_STORAGE,VALUE,62,8,RAM,
PCCooler,pccooler,Trung Quốc,CN,/assets/brands/pccooler.svg,,CASE_COOLING,GRAY_MARKET,38,25,COOLER,
Peladn,peladn,Trung Quốc,CN,/assets/brands/peladn.svg,,BOARD_PARTNER,GRAY_MARKET,38,25,GPU,
Phanteks,phanteks,Hà Lan,NL,/assets/brands/phanteks.svg,,CASE_COOLING,PREMIUM,88,-8,CASE|COOLER|WATER_COOLING,
Phytium,phytium,Trung Quốc,CN,/assets/brands/phytium.svg,,CHIP_VENDOR,INDUSTRIAL,58,12,CPU,
Pioneer,pioneer,Nhật Bản,JP,/assets/brands/pioneer.svg,,MEMORY_STORAGE,VALUE,62,8,RAM,
PNY,pny,Mỹ,US,/assets/brands/pny.svg,,BOARD_PARTNER,MAINSTREAM,75,0,GPU,
PowerColor,powercolor,Đài Loan,TW,/assets/brands/powercolor.svg,,BOARD_PARTNER,MAINSTREAM,75,0,GPU,
Reeinno,reeinno,Trung Quốc,CN,/assets/brands/reeinno.svg,,MEMORY_STORAGE,GRAY_MARKET,38,25,STORAGE,
Sabrent,sabrent,Mỹ,US,/assets/brands/sabrent.svg,,MEMORY_STORAGE,VALUE,62,8,STORAGE,
Sama,sama,Trung Quốc,CN,/assets/brands/sama.svg,,PSU_CASE_COOLING,GRAY_MARKET,38,25,CASE|COOLER|PSU,
Samsung,samsung,Hàn Quốc,KR,/assets/brands/samsung.svg,,MEMORY_STORAGE,PREMIUM,88,-8,RAM|STORAGE,
SanDisk,sandisk,Mỹ,US,/assets/brands/sandisk.svg,,MEMORY_STORAGE,PREMIUM,88,-8,STORAGE,
Sapphire,sapphire,Hong Kong,HK,/assets/brands/sapphire.svg,,BOARD_PARTNER,MAINSTREAM,75,0,GPU,
Scythe,scythe,Nhật Bản,JP,/assets/brands/scythe.svg,,CASE_COOLING,MAINSTREAM,75,0,COOLER,
Seagate,seagate,Mỹ,US,/assets/brands/seagate.svg,,MEMORY_STORAGE,PREMIUM,88,-8,STORAGE,
Seasonic,seasonic,Đài Loan,TW,/assets/brands/seasonic.svg,,PSU_CASE_COOLING,PREMIUM,88,-8,PSU,
Segotep,segotep,Trung Quốc,CN,/assets/brands/segotep.svg,,PSU_CASE_COOLING,GRAY_MARKET,38,25,CASE|COOLER|PSU,
Silicon Power,silicon-power,Đài Loan,TW,/assets/brands/silicon-power.svg,,MEMORY_STORAGE,VALUE,62,8,RAM|STORAGE,
SilverStone,silverstone,Đài Loan,TW,/assets/brands/silverstone.svg,,PSU_CASE_COOLING,MAINSTREAM,75,0,COOLER|PSU,
SK Hynix,sk-hynix,Hàn Quốc,KR,/assets/brands/sk-hynix.svg,,MEMORY_STORAGE,PREMIUM,88,-8,RAM|STORAGE,
Solidigm,solidigm,Mỹ,US,/assets/brands/solidigm.svg,,MEMORY_STORAGE,PREMIUM,88,-8,STORAGE,
Somnambulist,somnambulist,Trung Quốc,CN,/assets/brands/somnambulist.svg,,MEMORY_STORAGE,GRAY_MARKET,38,25,STORAGE,
Soyo,soyo,Trung Quốc,CN,/assets/brands/soyo.svg,,BOARD_PARTNER,GRAY_MARKET,38,25,GPU|MOTHERBOARD,
Sparkle,sparkle,Đài Loan,TW,/assets/brands/sparkle.svg,,BOARD_PARTNER,VALUE,62,8,GPU,
