Category,Brand,Model,Origin,Key_Specs,Socket_Slot,Power_Watts
CPU,Intel,Core Ultra 9 285K,Mỹ,24 Cores 24 Threads | Up to 5.7GHz,LGA1851,125W
CPU,Intel,Core Ultra 7 265K,Mỹ,20 Cores 20 Threads | Up to 5.5GHz,LGA1851,125W
CPU,Intel,Core Ultra 5 245K,Mỹ,14 Cores 14 Threads | Up to 5.2GHz,LGA1851,125W
CPU,Intel,Core i9-14900K,Mỹ,24 Cores 32 Threads | Up to 6.0GHz,LGA1700,125W
CPU,Intel,Core i5-12400F,Mỹ,6 Cores 12 Threads | Up to 4.4GHz,LGA1700,65W
CPU,AMD,Ryzen 9 9950X,Mỹ,16 Cores 32 Threads | Up to 5.7GHz,AM5,170W
CPU,AMD,Ryzen 7 9700X,Mỹ,8 Cores 16 Threads | Up to 5.5GHz,AM5,65W
CPU,AMD,Ryzen 7 7800X3D,Mỹ,8 Cores 16 Threads | 96MB L3 Cache (Gaming King),AM5,120W
CPU,AMD,Ryzen 5 5600X,Mỹ,6 Cores 12 Threads | Up to 4.6GHz,AM4,65W
CPU,Loongson,3A6000,Trung Quốc,4 Cores 8 Threads | 2.5GHz (Kiến trúc LoongArch),LA464,50W
CPU,Zhaoxin,KaiXian KX-7000,Trung Quốc,8 Cores 8 Threads | Up to 3.3GHz (Tương thích x86),HJJ,75W
GPU,NVIDIA,GeForce RTX 5090 Founders Edition,Mỹ,32GB GDDR7 | 512-bit | DLSS 4.0,PCIe 5.0 x16,600W
GPU,NVIDIA,GeForce RTX 5080 Founders Edition,Mỹ,16GB GDDR7 | 256-bit,PCIe 5.0 x16,400W
GPU,NVIDIA,GeForce RTX 4060 Ti,Mỹ,8GB GDDR6 | 128-bit | DLSS 3.0,PCIe 4.0 x8,160W
GPU,AMD,Radeon RX 7900 XTX,Mỹ,24GB GDDR6 | 384-bit | FSR 3.0,PCIe 4.0 x16,355W
GPU,Intel,Arc A770 Limited Edition,Mỹ,16GB GDDR6 | 256-bit | XeSS,PCIe 4.0 x16,225W
GPU,ASUS,ROG Strix RTX 5090 OC,Đài Loan,32GB GDDR7 | Bản Custom 3 Quạt Hầm Hố RGB,PCIe 5.0 x16,650W
GPU,MSI,RTX 5080 SUPRIM X,Đài Loan,16GB GDDR7 | Vỏ Nhôm Phay Xước Sang Trọng,PCIe 5.0 x16,420W
GPU,GIGABYTE,AORUS RTX 4070 Ti SUPER Master,Đài Loan,16GB GDDR6X | Tích hợp màn hình LCD mini,PCIe 4.0 x16,285W
GPU,Colorful,iGame RTX 5070 Vulcan OC,Trung Quốc,12GB GDDR7 | Màn hình LCD lật tháo rời được,PCIe 5.0 x16,250W
GPU,Yeston,RTX 4060 Sakura Sugar,Trung Quốc,8GB GDDR6 | Thiết kế Waifu Hoa Anh Đào Hồng,PCIe 4.0 x8,115W
GPU,Maxsun,RTX 4060 Ti iCraft OC White,Trung Quốc,8GB GDDR6 | Vỏ Trắng Phong Cách Anime,PCIe 4.0 x8,160W
GPU,Galax,RTX 4090 Hall of Fame (HOF),Hong Kong,24GB GDDR6X | PCB Màu Trắng Chuyên Ép Xung,PCIe 4.0 x16,500W
GPU,Inno3D,RTX 3060 Twin X2,Hong Kong,12GB GDDR6 | Bản 2 Quạt Giá Rẻ Tối Giản,PCIe 4.0 x16,170W
GPU,Peladn,RTX 3060 Ti Gaming,Trung Quốc,8GB GDDR6 | Card Giá Rẻ Nội Địa,PCIe 4.0 x16,200W
GPU,AISURIX,RX 580 8GB,Trung Quốc,8GB GDDR5 | Card Cỏ Tái Chế Giá Siêu Rẻ,PCIe 3.0 x16,185W
Mainboard,ASUS,ROG MAXIMUS Z890 HERO,Đài Loan,Chipset Z890 | ATX | Hỗ trợ Thunderbolt 4,LGA1851 (DDR5),0W
Mainboard,ASUS,TUF GAMING B760M-PLUS,Đài Loan,Chipset B760 | M-ATX | Bền Bỉ Tầm Trung,LGA1700 (DDR5),0W
Mainboard,MSI,MEG X870E GODLIKE,Đài Loan,Chipset X870E | E-ATX | Màn Hình LED Cảm Ứng,AM5 (DDR5),0W
Mainboard,MSI,MAG B650 TOMAHAWK WIFI,Đài Loan,Chipset B650 | ATX | Bo Mạch Quốc Dân,AM5 (DDR5),0W
Mainboard,GIGABYTE,B650M AORUS ELITE,Đài Loan,Chipset B650 | M-ATX | Phân Khúc Tầm Trung,AM5 (DDR5),0W
Mainboard,ASRock,Z890 Taichi,Đài Loan,Chipset Z890 | ATX | Thiết Kế Bánh Răng Cơ Khí,LGA1851 (DDR5),0W
Mainboard,Colorful,CVN B760M FROZEN WIFI,Trung Quốc,Chipset B760 | M-ATX | PCB Màu Trắng Tuyết,LGA1700 (DDR4),0W
Mainboard,Maxsun,MS-Terminator B760M GIGA,Trung Quốc,Chipset B760 | M-ATX | Vua Phá Giá Phân Khúc,LGA1700 (DDR4),0W
Mainboard,Huananzhi,X99-F8,Trung Quốc,Chipset X99 | ATX | Chuyên Chạy CPU Xeon Cũ,LGA2011-3 (DDR3),0W
Mainboard,Machinist,X99 RS9,Trung Quốc,Chipset X99 | M-ATX | Bo Mạch Giá Rẻ Cày Giả Lập,LGA2011-3 (DDR3),0W
RAM,Corsair,Dominator Titanium RGB 32GB,Mỹ,2x16GB | DDR5 | 7200MHz | LED Cao Cấp,DDR5 Slot,5W
RAM,Corsair,Vengeance LPX 16GB,Mỹ,2x8GB | DDR4 | 3200MHz | Bản Tối Giản Không LED,DDR4 Slot,4W
RAM,G.Skill,Trident Z5 Royal 32GB,Đài Loan,2x16GB | DDR5 | 8000MHz | Viền Đá Quý Luxury,DDR5 Slot,6W
RAM,Kingston,FURY Beast RGB 16GB,Mỹ,1x16GB | DDR5 | 5600MHz | Ram Quốc Dân,DDR5 Slot,4W
RAM,TeamGroup,T-Force Delta RGB 32GB,Đài Loan,2x16GB | DDR5 | 6000MHz | Thiết Kế Cánh Chim,DDR5 Slot,5W
RAM,Lexar,Thor OC 16GB,Mỹ,2x8GB | DDR4 | 3600MHz | Tản Nhiệt Nhôm Xám Giá Tốt,DDR4 Slot,4W
RAM,Hiksemi,Armor DDR4 8GB,Trung Quốc,1x8GB | DDR4 | 3200MHz | Hàng Giá Rẻ Phổ Thông,DDR4 Slot,3W
RAM,Netac,Shadow RGB 16GB,Trung Quốc,2x8GB | DDR4 | 3200MHz | Hàng Giá Rẻ Có LED,DDR4 Slot,4W
RAM,Juhor,Vanguard RGB 16GB,Trung Quốc,2x8GB | DDR4 | 3600MHz | Ram Nội Địa Giá Rẻ,DDR4 Slot,4W
Storage,Samsung,990 PRO 2TB,Hàn Quốc,NVMe PCIe Gen 4.0 | Đọc 7450MB/s | Ghi 6900MB/s,M.2 NVMe Slot,8W
Storage,Samsung,990 EVO 1TB,Hàn Quốc,NVMe PCIe Gen 4.0/5.0 x2 | Tiết Kiệm Điện,M.2 NVMe Slot,6W
Storage,Western Digital,WD_BLACK SN850X 1TB,Mỹ,NVMe PCIe Gen 4.0 | Chuyên Dụng Cho Gaming,M.2 NVMe Slot,8W
Storage,SanDisk,Ultra 3D SATA III 1TB,Mỹ,SSD 2.5 inch | Đọc 560MB/s | Cắm Dây Cáp,SATA 3 Port,4W
Storage,Kingston,KC3000 1TB,Mỹ,NVMe PCIe Gen 4.0 | Tốc Độ Cao P/P Cực Tốt,M.2 NVMe Slot,7W
Storage,Crucial,P3 Plus 500GB,Mỹ,NVMe PCIe Gen 4.0 | Phân Khúc Giá Rẻ Chính Hãng,M.2 NVMe Slot,5W
Storage,Kioxia,Exceria G2 1TB,Nhật Bản,NVMe PCIe Gen 3.0 | Ổ Cứng Ngon Bổ Rẻ Thần Thánh,M.2 NVMe Slot,5W
Storage,Seagate,Barrauda 2TB HDD,Mỹ,Ổ Cứng Cơ 3.5 inch | 7200RPM | Lưu Trữ Dữ Liệu,SATA 3 Port,7W
Storage,Hiksemi,Future 1TB,Trung Quốc,NVMe PCIe Gen 4.0 | Tốc Độ 7450MB/s Giá Siêu Tốt,M.2 NVMe Slot,6W
Storage,Somnambulist,SATA III 120GB,Trung Quốc,SSD 2.5 inch | Ổ Cỏ Siêu Rẻ Chỉ Hơn 100k,SATA 3 Port,3W
Storage,XrayDisk,NVMe 512GB,Trung Quốc,NVMe PCIe Gen 3.0 | Ổ Cứng Giá Rẻ Trên Sàn TMĐT,M.2 NVMe Slot,5W
Cooling,Noctua,NH-D15 chromax.black,Áo,Tản Nhiệt Khí Tháp Đôi | Siêu Êm | Cân CPU Khủng,CPU Fan Header,5W
