Category,Brand,Model,Origin,Key_Specs,Socket_Slot,Power_Watts
CPU,Intel,Core i7-13700K,Mỹ,16 Cores 24 Threads | Up to 5.4GHz | Gaming Đồ Họa,LGA1700,125
CPU,Intel,Core i5-13600K,Mỹ,14 Cores 20 Threads | Up to 5.1GHz | Vua Tầm Trung,LGA1700,125
CPU,Intel,Core i9-12900K,Mỹ,16 Cores 24 Threads | Up to 5.2GHz | Khủng Long Đời Trước,LGA1700,125
CPU,Intel,Core i5-12600K,Mỹ,10 Cores 16 Threads | Up to 4.9GHz | Core K Giá Tốt,LGA1700,125
CPU,Intel,Core i7-10700K,Mỹ,8 Cores 16 Threads | Up to 5.1GHz | Chip Đa Nhiệm Cũ,LGA1200,125
CPU,Intel,Core i5-11400F,Mỹ,6 Cores 12 Threads | Up to 4.4GHz | Cấu Hình Cỏ Phổ Biến,LGA1200,65
CPU,Intel,Core i7-11700K,Mỹ,8 Cores 16 Threads | Up to 5.0GHz | Thế Hệ Rocket Lake,LGA1200,125
CPU,Intel,Core i7-9700K,Mỹ,8 Cores 8 Threads | Up to 4.9GHz | Chip Gaming Cũ Khỏe,LGA1151v2,95
CPU,Intel,Core i5-8400,Mỹ,6 Cores 6 Threads | Up to 4.0GHz | Quốc Dân Máy Cỏ Một Thời,LGA1151v2,65
CPU,Intel,Core i7-7700K,Mỹ,4 Cores 8 Threads | Up to 4.5GHz | Huyền Thoại Máy Cũ,LGA1151,91
CPU,Intel,Core i5-7400,Mỹ,4 Cores 4 Threads | Up to 3.5GHz | Lắp Máy Văn Phòng Cỏ,LGA1151,65
CPU,Intel,Core i7-6700,Mỹ,4 Cores 8 Threads | Up to 4.0GHz | Chip Văn Phòng Đồ Họa Cũ,LGA1151,65
CPU,Intel,Core i5-6500,Mỹ,4 Cores 4 Threads | Up to 3.6GHz | Cấu Hình Chống Cháy Giá Rẻ,LGA1151,65
CPU,Intel,Core i7-4770K,Mỹ,4 Cores 8 Threads | Up to 3.9GHz | Trùm Ép Xung Haswell,LGA1150,84
CPU,Intel,Core i5-4460,Mỹ,4 Cores 4 Threads | Up to 3.4GHz | Máy Cỏ Chiến LoL Giá Rẻ,LGA1150,84
CPU,Intel,Core i7-3770,Mỹ,4 Cores 8 Threads | Up to 3.9GHz | Huyền Thoại Ivy Bridge,LGA1155,77
CPU,Intel,Core i5-3470,Mỹ,4 Cores 4 Threads | Up to 3.6GHz | Combo Cỏ 1 Triệu Đồng,LGA1155,77
CPU,Intel,Core i7-2600,Mỹ,4 Cores 8 Threads | Up to 3.8GHz | Chip Đồ Họa Cũ Đời Đầu,LGA1155,95
CPU,Intel,Core i5-2400,Mỹ,4 Cores 4 Threads | Up to 3.4GHz | Chip Chống Cháy Hoài Cổ,LGA1155,95
CPU,Intel,Xeon E5-2673 v3,Mỹ,12 Cores 24 Threads | 2.4GHz | Chuyên Chạy Giả Lập Nox,LGA2011-3,105
CPU,Intel,Xeon E5-2683 v4,Mỹ,16 Cores 32 Threads | 2.1GHz | Chạy Ảo Hóa Server Cũ,LGA2011-3,120
CPU,Intel,Xeon E3-1230 v3,Mỹ,4 Cores 8 Threads | Up to 3.7GHz | Core i7 Giá Rẻ Đời Cũ,LGA1150,80
CPU,AMD,Ryzen 9 9900X,Mỹ,12 Cores 24 Threads | Up to 5.6GHz | Dòng Cao Cấp Mới,AM5,120
CPU,AMD,Ryzen 5 9600X,Mỹ,6 Cores 12 Threads | Up to 5.4GHz | Gaming Tầm Trung Mới,AM5,65
CPU,AMD,Ryzen 9 7900X,Mỹ,12 Cores 24 Threads | Up to 5.6GHz | Đa Nhiệm Khủng AM5,AM5,170
CPU,AMD,Ryzen 7 7700,Mỹ,8 Cores 16 Threads | Up to 5.3GHz | Tiết Kiệm Điện Năng,AM5,65
CPU,AMD,Ryzen 9 5900X,Mỹ,12 Cores 24 Threads | Up to 4.8GHz | Trùm Đa Nhiệm AM4,AM4,105
CPU,AMD,Ryzen 7 5700X,Mỹ,8 Cores 16 Threads | Up to 4.6GHz | Đồ Họa Gaming Tầm Trung,AM4,65
CPU,AMD,Ryzen 5 5600G,Mỹ,6 Cores 12 Threads | Tích hợp Radeon Graphics Cực Khỏe,AM4,65
CPU,AMD,Ryzen 5 4600G,Mỹ,6 Cores 12 Threads | APU Giá Rẻ Không Cần Card Rời,AM4,65
CPU,AMD,Ryzen 3 3200G,Mỹ,4 Cores 4 Threads | Vega 8 Graphics | Máy Cỏ Giá Rẻ,AM4,65
CPU,AMD,Ryzen 7 3700X,Mỹ,8 Cores 16 Threads | Up to 4.4GHz | Kiến Trúc Zen 2 Khỏe,AM4,65
CPU,AMD,Ryzen 5 2600,Mỹ,6 Cores 12 Threads | Up to 3.9GHz | Máy Gaming Cỏ Phổ Biến,AM4,65
CPU,AMD,FX-8350,Mỹ,"8 Cores 8 Threads | 4.0GHz | Huyền Thoại ""Lò Sưởi"" Đời Cũ",AM3+,125
GPU,ASUS,ROG Strix RTX 4060 Ti Advanced,Đài Loan,16GB GDDR6 | Bản VRAM Lớn Thiết Kế Cao Cấp,PCIe 4.0 x8,165
GPU,ASUS,TUF Gaming RTX 4070 SUPER OC,Đài Loan,12GB GDDR6X | Bản 3 Quạt Vỏ Kim Loại Bền,PCIe 4.0 x16,225
GPU,ASUS,Dual RTX 3060 Ti OC White,Đài Loan,8GB GDDR6 | Bản 2 Quạt Màu Trắng Tuyết Cũ,PCIe 4.0 x16,200
GPU,ASUS,Phoenix GTX 1650 OC,Đài Loan,4GB GDDR6 | Bản 1 Quạt Nhỏ Gọn Không Nguồn Phụ,PCIe 3.0 x16,75
GPU,ASUS,ROG Strix GTX 1070 Ti,Đài Loan,8GB GDDR5 | Card Gaming Cũ Hầm Hố Đèn RGB,PCIe 3.0 x16,180
GPU,MSI,RTX 4060 Ti Gaming X Slim White,Đài Loan,16GB GDDR6 | Bản Trắng Mỏng Nhẹ Siêu Đẹp,PCIe 4.0 x8,160
GPU,MSI,RTX 4070 Ti SUPER Ventus 2X White,Đài Loan,16GB GDDR6X | 2 Quạt Màu Trắng Tối Giản,PCIe 4.0 x16,285
GPU,MSI,RTX 3060 Gaming X Trio,Đài Loan,12GB GDDR6 | Card 3 Quạt Cực Dài Đèn LED Đẹp,PCIe 4.0 x16,170
GPU,MSI,GTX 1660 Super Ventus XS OC,Đài Loan,6GB GDDR6 | Card Tầm Trung Cũ Cực Bền,PCIe 3.0 x16,125
GPU,MSI,GTX 1050 Ti Gaming X,Đài Loan,4GB GDDR5 | Bản Rồng Đỏ Đen Huyền Thoại Máy Cỏ,PCIe 3.0 x16,75
GPU,GIGABYTE,RTX 4060 AERO OC,Đài Loan,8GB GDDR6 | Bản Thiết Kế Màu Trắng Sang Trọng,PCIe 4.0 x8,115
GPU,GIGABYTE,RTX 4070 Ti SUPER EAGLE OC,Đài Loan,16GB GDDR6X | Bản 3 Quạt Giá Tốt,PCIe 4.0 x16,285
GPU,GIGABYTE,RTX 3070 Vision OC,Đài Loan,8GB GDDR6 | Tông Bạc Trắng Cho Dân Đồ Họa Cũ,PCIe 4.0 x16,220
GPU,GIGABYTE,GTX 1060 WindForce 2X,Đài Loan,6GB GDDR5 | Bản 2 Quạt Quốc Dân Máy Cỏ,PCIe 3.0 x16,120
GPU,GIGABYTE,GTX 750 Ti WindForce,Đài Loan,2GB GDDR5 | Huyền Thoại Cắm Máy Khởi Nghiệp,PCIe 3.0 x16,60
